" Siege of Berlin"

Attacker,Georgian_Kingdom
Defender,Greenland
Winner,Nobody

Participant Logs,,,,,,Kill Logs,,,,,
Player,Damage,Kills,Deaths,KDR,,Time (h),Killer Side,Killer,Victim,Location
TiCTaCPoWer,16403.98,42,7,6.00,,0,Greenland,TiCTaCPoWer,qtmx,"(2739.61, 65.01, -10721.17)"
Pupunan,11792.14,29,11,2.64,,0,Greenland,lukinhaseuro,TR3V0X,"(2766.70, 25.06, -10721.30)"
rolyy,10798.42,27,28,0.96,,0,Georgian_Kingdom,RedstoneBeam,Hytes,"(2705.00, 64.25, -10654.84)"
Tlapss,8626.43,13,13,1.00,,0,Greenland,_Hank_Schrader,Darrobb,"(2833.46, 64.10, -10806.75)"
xKotaro,8148.65,16,12,1.33,,0,Greenland,TLCFoxer,wLost,"(2692.43, 63.77, -10681.30)"
TLCFoxer,8135.10,11,3,3.67,,0,Georgian_Kingdom,5EERGI,kukuzavrik,"(2733.90, 63.00, -10669.58)"
RedstoneBeam,7644.33,11,3,3.67,,0,Georgian_Kingdom,Tlapss,Reerr,"(2739.64, 72.15, -10718.70)"
"#Fall",7528.01,6,0,6.00,,0,Georgian_Kingdom,Darrobb,___Allen,"(2704.90, 65.46, -10715.19)"
MDJayy,7428.61,19,16,1.19,,1,Georgian_Kingdom,Tlapss,_Hank_Schrader,"(2664.12, 64.18, -10726.26)"
Offlined,7080.94,11,10,1.10,,1,Georgian_Kingdom,RedstoneBeam,lukinhaseuro,"(2732.70, 60.00, -10708.12)"
5EERGI,6623.44,15,12,1.25,,1,Georgian_Kingdom,"#Arrow",Reerr,"(2742.39, 64.00, -10714.18)"
TLCarnas,6461.76,15,6,2.50,,1,Greenland,_Hank_Schrader,Tlapss,"(2603.89, 63.30, -10769.41)"
Lostnation,5869.88,7,8,0.88,,1,Georgian_Kingdom,Darrobb,_Hank_Schrader,"(2628.93, 63.00, -10682.93)"
Hytes,5630.58,9,8,1.13,,1,Greenland,TiCTaCPoWer,xDababneh,"(2687.85, 64.08, -10687.73)"
TridentChugger,5531.11,8,6,1.33,,1,Greenland,TiCTaCPoWer,NjMcr,"(2701.98, 63.00, -10681.66)"
Ezoteric_,5364.24,15,16,0.94,,1,Greenland,TiCTaCPoWer,Darrobb,"(2685.79, 65.57, -10620.96)"
pixa__,5336.02,9,9,1.00,,1,Greenland,UghBraces,PaysafeDoVSKI,"(2670.29, 63.50, -10672.10)"
TR3V0X,5246.08,5,7,0.71,,1,Greenland,kukuzavrik,wLost,"(2641.21, 64.03, -10680.52)"
NetflixAndMonkey,4886.12,7,6,1.17,,1,Greenland,kalkapat,NjMcr,"(2707.60, 65.98, -10615.93)"
S3xyTeo,4826.71,8,5,1.60,,1,Georgian_Kingdom,Darrobb,Tgrlkona61,"(2608.53, 54.00, -10653.47)"
wLost,4476.20,6,8,0.75,,1,Georgian_Kingdom,Nekometa13,kukuzavrik,"(2744.70, 60.04, -10704.68)"
6mint9,4454.95,5,6,0.83,,1,Greenland,_carb,Bovada,"(2725.30, 59.08, -10688.31)"
monkeynick123ooh,4410.16,8,4,2.00,,2,Greenland,Hytes,xKotaro,"(2712.70, 59.00, -10719.30)"
Lapri,4272.67,7,5,1.40,,2,Greenland,TLCarnas,K4ppah,"(2737.07, 63.30, -10732.59)"
Reerr,4254.00,5,10,0.50,,2,Greenland,TiCTaCPoWer,xDababneh,"(2734.31, 58.05, -10720.71)"
_carb,4243.26,5,3,1.67,,2,Georgian_Kingdom,Pupunan,Biz0n_CZ,"(2683.27, 63.00, -10688.60)"
Nekometa13,4194.70,12,8,1.50,,2,Georgian_Kingdom,Pupunan,Ruzmarin,"(2742.34, 68.02, -10713.70)"
___Allen,4060.00,10,7,1.43,,2,Georgian_Kingdom,"#Fall",Xavlummea,"(2740.94, 69.00, -10716.91)"
NjMcr,3977.00,1,10,0.10,,2,Georgian_Kingdom,"#Fall",BadgesS,"(2737.30, 64.00, -10708.30)"
RedArt,3959.91,7,10,0.70,,2,Georgian_Kingdom,"#Arrow",_carb,"(2786.19, 63.00, -10716.80)"
RinneganPT,3952.35,7,11,0.64,,2,Georgian_Kingdom,Pupunan,MES0P0TAMIA,"(2683.18, 63.00, -10772.20)"
Ruzmarin,3826.73,20,4,5.00,,2,Georgian_Kingdom,"#Fall",Xavlummea,"(2740.10, 67.00, -10725.46)"
Barters,3777.07,7,3,2.33,,2,Georgian_Kingdom,Pupunan,Tgrlkona61,"(2731.70, 38.56, -10712.30)"
UghBraces,3580.38,5,3,1.67,,2,Georgian_Kingdom,Bovada,Biz0n_CZ,"(2732.68, 60.61, -10706.33)"
kalkapat,3554.09,6,4,1.50,,2,Greenland,ItzSpicey,Bovada,"(2730.30, 59.50, -10691.79)"
Aesyr,3422.49,3,0,3.00,,2,Georgian_Kingdom,vCammy,ItzSpicey,"(2730.42, 59.00, -10692.71)"
Tgrlkona61,3342.16,4,12,0.33,,2,Greenland,TLCFoxer,mexican_dong,"(2733.30, 59.00, -10690.63)"
Cubanned,3316.00,8,6,1.33,,2,Georgian_Kingdom,Nekometa13,_Srdjan,"(2729.70, 58.06, -10713.70)"
TeaBurger,3186.67,6,7,0.86,,2,Greenland,Aesyr,SleaseyCheese,"(2733.30, 59.00, -10690.70)"
Bovada,3066.35,6,11,0.55,,2,Greenland,TiCTaCPoWer,MDJayy,"(2735.70, 59.00, -10689.30)"
SleaseyCheese,2952.10,10,4,2.50,,2,Greenland,Ruzmarin,Darrobb,"(2727.30, 59.00, -10693.80)"
HotDogK1d,2880.60,6,3,2.00,,2,Greenland,BlackeN__,Tlapss,"(2696.70, 54.00, -10724.30)"
NotSteve24,2820.78,4,7,0.57,,2,Greenland,MES0P0TAMIA,Pupunan,"(2727.30, 59.00, -10693.30)"
_Hank_Schrader,2747.71,7,8,0.88,,2,Greenland,_carb,NjMcr,"(2733.56, 62.84, -10689.80)"
Xavlummea,2724.16,6,9,0.67,,2,Greenland,Ruzmarin,Bovada,"(2735.30, 60.63, -10683.70)"
Darrobb,2711.51,6,6,1.00,,2,Greenland,Reerr,vCammy,"(2729.30, 59.00, -10698.70)"
IzPwoj,2703.72,4,4,1.00,,2,Georgian_Kingdom,Offlined,Tgrlkona61,"(2623.37, 64.00, -10697.25)"
icrft,2621.83,2,4,0.50,,2,Greenland,Ruzmarin,MDJayy,"(2729.32, 51.65, -10716.30)"
Sluys,2546.07,7,3,2.33,,2,Greenland,Ruzmarin,Offlined,"(2733.52, 51.15, -10720.61)"
toushen,2540.47,4,3,1.33,,2,Greenland,_Hank_Schrader,NjMcr,"(2737.79, 24.00, -10729.45)"
lukinhaseuro,2530.75,7,7,1.00,,2,Georgian_Kingdom,Nekometa13,MES0P0TAMIA,"(2748.36, 52.11, -10719.70)"
MES0P0TAMIA,2347.05,3,8,0.38,,2,Georgian_Kingdom,mexican_dong,BlackeN__,"(2728.05, 44.00, -10717.70)"
